dpf_ko,dose_ko,x_fish_ko,x_dead_ko,percent_dead_ko,hatched_ko,percent_hatched_ko,abnormalities_ko,percent_abnormalities_ko,dpf_ab,dose_ab,x_fish_ab,x_dead_ab,percent_dead_ab,hatched_ab,percent_hatched_ab,abnormalities_ab,percent_abnormalities_ab
0,0,60,na,na,na,na,na,na,0,0,60,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,0,0.25,60,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,0,0.5,60,na,na,na,na,na,na
0,2,,na,na,na,na,na,na,0,2,60,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,0,8,60,na,na,na,na,na,na
0,16,,na,na,na,na,na,na,0,16,60,na,na,na,na,na,na
1,0,60,12,20,na,na,na,na,1,0,60,2,3.333333333,na,na,na,na
1,0.25,60,9,15,na,na,na,na,1,0.25,60,7,11.66666667,na,na,na,na
1,0.5,60,9,15,na,na,na,na,1,0.5,60,3,5,na,na,na,na
1,2,60,15,25,na,na,na,na,1,2,60,2,3.333333333,na,na,na,na
1,8,60,13,21.66666667,na,na,na,na,1,8,60,4,6.666666667,na,na,na,na
1,16,60,40,66.66666667,na,na,na,na,1,16,60,55,91.66666667,na,na,na,na
2,0,60,0,20,30,62.5,na,na,2,0,60,0,3.333333333,18,31.03448276,na,na
2,0.25,60,0,15,14,27.45098039,na,na,2,0.25,60,0,11.66666667,1,1.886792453,na,na
2,0.5,60,0,15,12,23.52941176,na,na,2,0.5,60,1,6.666666667,0,0,na,na
2,2,60,0,25,14,31.11111111,na,na,2,2,60,0,3.333333333,0,0,na,na
2,8,60,3,26.66666667,3,6.818181818,na,na,2,8,60,3,11.66666667,5,9.433962264,na,na
2,16,60,20,100,na,na,na,na,2,16,60,5,100,na,na,na,na
3,0,60,0,20,39,81.25,na,na,3,0,60,0,3.333333333,50,86.20689655,na,na
3,0.25,60,0,15,38,74.50980392,na,na,3,0.25,60,0,11.66666667,40,75.47169811,na,na
3,0.5,60,0,15,37,72.54901961,na,na,3,0.5,60,0,6.666666667,51,91.07142857,na,na
3,2,60,0,25,43,95.55555556,na,na,3,2,60,0,3.333333333,54,93.10344828,na,na
3,8,60,4,33.33333333,7,17.5,na,na,3,8,60,43,83.33333333,na,na,na,na
3,16,60,60,100,na,na,na,na,3,16,60,60,100,na,na,na,na
4,0,60,0,20,48,100,na,na,4,0,60,0,3.333333333,58,100,na,na
4,0.25,60,0,15,51,100,na,na,4,0.25,60,0,11.66666667,53,100,na,na
4,0.5,60,0,15,51,100,na,na,4,0.5,60,0,6.666666667,56,100,na,na
4,2,60,0,25,45,100,na,na,4,2,60,0,3.333333333,58,100,na,na
4,8,60,15,58.33333333,19,76,na,na,4,8,60,60,100,na,na,na,na
4,16,60,60,100,na,na,na,na,4,16,60,60,100,na,na,na,na
5,0,60,0,20,,100,1,2.083333333,5,0,60,0,3.333333333,na,100,1,1.724137931
5,0.25,60,0,15,,100,0,0,5,0.25,60,0,11.66666667,na,100,3,5.660377358
5,0.5,60,0,15,,100,3,5.882352941,5,0.5,60,0,6.666666667,na,100,5,8.928571429
5,2,60,0,25,,100,45,100,5,2,60,0,3.333333333,na,100,52,89.65517241
5,8,60,25,100,na,na,na,na,5,8,60,60,100,na,na,na,na
5,16,60,60,100,na,na,na,na,5,16,60,60,100,na,na,na,na
